time,x,ema_signal,fir_signal
0.03125,2107.0,2107.0,2107.0
0.0625,2096.0,2102.105,2107.0
0.09375,2096.0,2099.388275,2107.013181654048
0.125,2096.0,2097.880492625,2107.061774367087
0.15625,2099.0,2098.378673406875,2107.117537588561
0.1875,2098.0,2098.2101637408155,2107.057563230764
0.21875,2096.0,2097.2266408761525,2106.6827214501386
0.25,2097.0,2097.1257856862644,2105.8168289521814
0.28125,2096.0,2096.6248110558768,2104.418395979507
0.3125,2096.0,2096.3467701360114,2102.634783304621
0.34375,2098.0,2097.0824574254866,2100.764747254713
0.375,2097.0,2097.045763871145,2099.1333302803014
0.40625,2096.0,2096.5803989484857,2097.955354924761
0.4375,2096.0,2096.3221214164096,2097.2694588761738
0.46875,2096.0,2096.1787773861074,2096.962168081177
0.5,2096.0,2096.0992214492894,2096.856512137381
0.53125,2102.0,2098.7250679043555,2096.807618964986
0.5625,2096.0,2097.5124126869173,2096.743104505496
0.59375,2099.0,2098.174389041239,2096.656807750731
0.625,2096.0,2097.206785917888,2096.584838554476
0.65625,2098.0,2097.559766184428,2096.556972252779
0.6875,2096.0,2096.8656702323574,2096.603645522977
0.71875,2098.0,2097.370446978958,2096.752393602143
0.75,2096.0,2096.760598073322,2097.0040041231255
0.78125,2098.0,2097.312131930694,2097.3051388205054
0.8125,2097.0,2097.173233221535,2097.5611072438046
0.84375,2099.0,2097.986144437952,2097.6839618479885
0.875,2096.0,2097.1023101630635,2097.640284073954
0.90625,2097.0,2097.0567821405,2097.470888049695
0.9375,2100.0,2098.366514087977,2097.275528784109
0.96875,2098.0,2098.203415318828,2097.144888255012
1.0,2097.0,2097.6678955019493,2097.1135672764003
1.03125,2100.0,2098.705682003582,2097.168358616512
1.0625,2098.0,2098.391653511988,2097.27196471019
1.09375,2097.0,2097.772367699153,2097.3916952973777
1.125,2096.0,2096.98366407303,2097.526997711898
1.15625,2099.0,2097.8809335605315,2097.685793200028
1.1875,2099.0,2098.378918126095,2097.8637519142594
1.21875,2096.0,2097.3202995599827,2098.0270097916678
1.25,2097.0,2097.17776625579,2098.1314474387946
1.28125,2098.0,2097.543660271964,2098.149550384809
1.3125,2101.0,2099.08173145094,2098.0823397270356
1.34375,2098.0,2098.600360955272,2097.9521690832694
1.375,2096.0,2097.443200330176,2097.7977840985327
1.40625,2097.0,2097.2459761832474,2097.6730374074746
1.4375,2100.0,2098.471516781702,2097.627574534047
1.46875,2102.0,2100.0416918138444,2097.6729908984
1.5,2096.0,2098.243138956684,2097.775577552025
1.53125,2100.0,2099.02494212096,2097.8915817327374
1.5625,2097.0,2098.1238428771326,2097.9941216316843
1.59375,2100.0,2098.9587327968084,2098.0805370702515
1.625,2097.0,2098.087096702229,2098.177257705995
1.65625,2098.0,2098.048338669737,2098.3057812491606
1.6875,2099.0,2098.471827961704,2098.4639253028768
1.71875,2103.0,2100.4868645187457,2098.618427007635
1.75,2096.0,2098.490209807904,2098.7175338451175
1.78125,2097.0,2097.8270664433867,2098.7232037510876
1.8125,2103.0,2100.12902187608,2098.6500164625286
1.84375,2100.0,2100.0716071412244,2098.5552636886514
1.875,2099.0,2099.5947419633794,2098.5046671824484
1.90625,2098.0,2098.8850817896755,2098.545764169567
1.9375,2100.0,2099.38122039327,2098.6798055454824
1.96875,2096.0,2097.876577318265,2098.867731520644
2.0,2098.0,2097.931500411637,2099.0665881931254
2.03125,2097.0,2097.5169827284585,2099.252255561667
2.0625,2098.0,2097.7319254142944,2099.398675005824
2.09375,2097.0,2097.406218604933,2099.4583056481265
2.125,2097.0,2097.225451325738,2099.385047859175
2.15625,2101.0,2098.905125485785,2099.160087280964
2.1875,2100.0,2099.3923446446106,2098.8036007026753
2.21875,2101.0,2100.1077512777592,2098.3705027160186
2.25,2096.0,2098.2798019591564,2097.950088596176
2.28125,2101.0,2099.490290087332,2097.653598242092
2.3125,2099.0,2099.272110998469,2097.574952729551
2.34375,2100.0,2099.596021604151,2097.728753043111
2.375,2100.0,2099.775791990304,2098.0608407775608
2.40625,2099.0,2099.4305645546187,2098.4821357874325
2.4375,2101.0,2100.1289633278134,2098.8888029228756
2.46875,2098.0,2099.1815746469365,2099.19562741971
2.5,2098.0,2098.6557739290497,2099.37229734406
2.53125,2100.0,2099.2539545306227,2099.454290058613
2.5625,2100.0,2099.585944764496,2099.496796345201
2.59375,2097.0,2098.435199344295,2099.53414888329
2.625,2099.0,2098.686535636084,2099.5669740049493
2.65625,2099.0,2098.8260272780267,2099.5716107841563
